"fecha","sdgripal","sarscov2","edad04.sdgripal","edad04.sarscov2","edad514.sdgripal","edad514.sarscov2","edad1544.sdgripal","edad1544.sarscov2","edad4564.sdgripal","edad4564.sarscov2","edad65.sdgripal","edad65.sarscov2","pob04","pob514","pob1544","pob4564","pob65","PIRINEU.sdgripal","PIRINEU.sarscov2","BARCELONA.sdgripal","BARCELONA.sarscov2","CANTALUNYA.sdgripal","CANTALUNYA.sarscov2","GIRONA.sdgripal","GIRONA.sarscov2","LLEIDA.sdgripal","LLEIDA.sarscov2","METR_NORD.sdgripal","METR_NORD.sarscov2","METR_SUD.sdgripal","METR_SUD.sarscov2","TARRAGONA.sdgripal","TARRAGONA.sarscov2","TERRES_EBRE.sdgripal","TERRES_EBRE.sarscov2","VALLES.sdgripal","VALLES.sarscov2","vac1218","vac1845","vac4565","vac6580","vac80","vactotal"
"2020-40",337,71,52,6,139,25,89,21,37,15,20,4,5450,14270,18428,13825,8991,11,1,95,14,21,3,12,4,21,5,24,8,17,3,35,10,11,3,14,2,0,0,0,0,0,0
"2020-41",353,133,35,5,103,38,115,47,66,30,34,13,5450,14270,18428,13825,8991,16,8,93,27,21,4,20,10,23,11,29,16,16,9,48,11,9,5,9,4,0,0,0,0,0,0
"2020-42",341,133,40,7,108,39,113,50,48,22,32,15,5450,14270,18428,13825,8991,14,9,92,39,33,8,20,7,23,11,24,10,11,4,44,12,12,7,11,4,0,0,0,0,0,0
"2020-43",417,218,65,13,105,55,138,82,80,51,29,17,5450,14270,18428,13825,8991,10,3,123,50,34,14,25,17,15,7,34,26,20,17,67,29,10,7,24,16,0,0,0,0,0,0
"2020-44",394,220,48,7,108,57,129,81,75,55,34,20,5441,14262,18431,13841,8998,10,7,125,51,12,7,20,14,25,15,29,19,26,13,62,34,3,2,27,19,0,0,0,0,0,0
"2020-45",325,169,49,8,87,48,88,51,72,43,29,19,5438,14268,18402,13848,8995,12,6,94,40,19,9,16,12,25,14,29,15,17,9,44,18,8,3,7,6,0,0,0,0,0,0
"2020-46",294,161,43,14,78,46,77,39,42,25,54,37,5443,14266,18386,13854,8997,39,32,86,36,17,12,10,8,21,13,27,17,13,3,28,11,3,2,10,4,0,0,0,0,0,0
"2020-47",254,135,33,3,51,25,61,33,44,23,65,51,5436,14248,18334,13816,8982,72,57,59,18,19,16,8,4,14,8,31,16,5,1,18,8,2,0,5,1,0,0,0,0,0,0
"2020-48",216,87,32,2,44,16,60,26,40,19,40,24,5425,14242,18328,13817,8988,32,26,61,15,12,5,13,3,13,9,20,7,9,0,22,7,2,0,3,0,0,0,0,0,0,0
"2020-49",197,60,28,1,54,20,49,11,49,22,17,6,5426,14235,18311,13821,8987,29,7,58,10,17,8,2,0,8,5,12,5,6,2,18,3,4,1,9,4,0,0,0,0,0,0
"2020-50",170,76,24,4,35,19,53,26,36,16,22,11,4641,12199,15693,11845,7705,11,3,49,16,16,9,14,6,12,8,13,6,4,0,17,10,1,0,8,5,0,0,0,0,0,0
"2020-51",213,98,31,8,49,20,56,29,56,32,21,9,5411,14246,18273,13831,9002,11,4,61,23,19,13,12,5,12,8,15,6,18,9,20,7,6,5,7,1,0,2,1,0,3,6
"2020-52",194,100,24,7,46,23,62,31,44,28,18,11,4617,12147,15557,11809,7698,22,13,60,16,15,12,10,6,11,8,13,7,9,4,21,16,1,1,12,7,0,10,11,17,67,105
"2020-53",181,110,19,8,27,15,69,47,41,31,20,8,4601,12147,15544,11823,7707,13,7,38,21,11,7,12,9,7,4,14,5,13,8,34,27,4,1,8,6,0,0,0,0,0,0
"2021-01",251,174,15,5,31,20,112,85,64,46,29,18,4594,12156,15702,12164,7794,10,8,56,38,15,8,22,20,13,6,24,17,15,11,46,36,13,8,10,7,0,157,223,43,164,586
"2021-02",276,159,26,5,47,31,93,54,80,52,30,17,5376,14155,18325,14204,9090,10,2,77,32,25,17,20,15,10,6,23,17,18,13,40,22,9,6,17,12,0,381,460,59,173,1073
"2021-03",293,152,43,13,59,28,97,54,61,39,33,18,5379,14146,18306,14211,9091,14,0,80,31,22,11,13,10,24,16,27,15,17,8,41,25,18,11,8,5,0,462,560,82,216,1320
