"ccaa","anno","semana","sexo","pob0_4","pob5_9","pob10_14","pob15_19","pob20_24","pob25_29","pob30_34","pob35_39","pob40_44","pob45_49","pob50_54","pob55_59","pob60_64","pob65_69","pob70_74","pob75_79","pob80_84","pob85_89","pob90_94","pob95_99","pob100mas"
"09",2021,40,1,3204,3996,4246,1407,1350,1374,1538,1687,2205,2340,2002,1832,1545,1247,1053,845,545,374,127,30,3
"09",2021,40,2,3034,3759,3938,1409,1354,1380,1561,1743,2120,2186,1903,1857,1662,1356,1315,1066,810,675,339,107,15
"09",2021,41,1,2723,3417,3618,1202,1144,1170,1302,1440,1866,1987,1710,1560,1326,1068,898,723,470,320,107,25,2
"09",2021,41,2,2589,3196,3355,1203,1157,1178,1326,1486,1812,1854,1635,1590,1415,1164,1124,917,690,578,286,91,12
"09",2021,42,1,3164,3985,4225,1402,1336,1370,1523,1675,2182,2321,1997,1819,1551,1249,1044,847,550,371,128,30,3
"09",2021,42,2,3019,3725,3916,1397,1344,1382,1545,1740,2115,2161,1907,1851,1662,1359,1316,1069,806,679,334,108,15
"09",2021,43,1,3173,3982,4216,1402,1337,1369,1521,1675,2175,2328,1994,1819,1556,1247,1045,849,547,375,128,31,3
"09",2021,43,2,3017,3721,3913,1402,1341,1384,1551,1738,2119,2157,1906,1851,1666,1361,1311,1071,806,681,335,107,14
"09",2021,44,1,2334,2928,3101,1030,980,1002,1116,1234,1599,1703,1465,1337,1136,915,769,619,402,274,91,21,1
"09",2021,44,2,2219,2739,2875,1031,991,1009,1136,1273,1553,1589,1401,1362,1212,997,963,786,591,495,245,78,10
"09",2021,45,1,3451,4435,4650,1372,1292,1300,1474,1594,2107,2262,1940,1783,1517,1208,1003,817,527,368,124,32,3
"09",2021,45,2,3291,4164,4338,1371,1305,1326,1488,1685,2044,2113,1845,1795,1608,1313,1264,1040,783,670,320,104,13
"09",2021,46,1,3501,4524,4773,1372,1292,1291,1478,1590,2106,2255,1939,1782,1522,1210,1005,814,528,368,125,33,3
"09",2021,46,2,3320,4252,4438,1373,1304,1320,1489,1688,2041,2117,1842,1796,1607,1313,1265,1041,780,673,321,103,13
"09",2021,47,1,3494,4526,4780,1383,1289,1287,1483,1593,2100,2251,1945,1777,1525,1217,1004,812,528,369,128,33,3
"09",2021,47,2,3323,4244,4446,1384,1305,1318,1482,1686,2045,2113,1844,1794,1609,1314,1268,1040,776,675,320,103,13
"09",2021,48,1,3498,4522,4771,1372,1286,1290,1474,1591,2097,2259,1939,1775,1531,1218,1003,813,526,370,128,33,3
"09",2021,48,2,3321,4233,4451,1378,1309,1322,1486,1685,2050,2112,1844,1794,1612,1310,1275,1040,773,676,324,103,13
"09",2021,49,1,1945,2440,2584,858,817,835,930,1028,1332,1419,1221,1114,947,762,641,516,335,228,76,17,1
"09",2021,49,2,1849,2282,2396,859,826,841,947,1061,1294,1324,1167,1135,1010,831,802,655,492,412,204,65,8
"09",2021,50,1,3495,4508,4769,1379,1284,1292,1477,1579,2096,2260,1945,1771,1533,1212,1002,822,519,371,129,33,3
"09",2021,50,2,3313,4229,4454,1383,1309,1333,1482,1680,2057,2116,1839,1798,1611,1308,1281,1042,769,677,321,105,13
"09",2021,51,1,3492,4512,4765,1384,1280,1297,1470,1581,2096,2255,1947,1775,1532,1212,1005,822,516,371,129,34,3
"09",2021,51,2,3308,4224,4456,1377,1317,1329,1480,1679,2059,2109,1844,1799,1610,1309,1282,1044,765,679,318,107,15
"09",2021,52,1,3474,4498,4743,1378,1279,1290,1467,1568,2089,2247,1950,1767,1529,1222,1004,824,514,370,131,34,3
"09",2021,52,2,3294,4209,4448,1379,1319,1314,1474,1668,2052,2100,1844,1798,1608,1306,1281,1051,762,679,319,109,15
"09",2022,1,1,2334,2928,3101,1030,980,1002,1116,1234,1599,1703,1465,1337,1136,915,769,619,402,274,91,21,1
"09",2022,1,2,2219,2739,2875,1031,991,1009,1136,1273,1553,1589,1401,1362,1212,997,963,786,591,495,245,78,10
"09",2022,2,1,3468,4500,4725,1390,1279,1292,1459,1564,2087,2246,1951,1770,1528,1218,1008,817,516,370,136,34,3
"09",2022,2,2,3292,4212,4452,1378,1313,1314,1473,1659,2061,2108,1838,1806,1608,1309,1284,1050,759,682,324,108,15
"09",2022,3,1,3473,4499,4719,1391,1277,1303,1455,1563,2084,2248,1960,1763,1531,1220,1005,820,519,372,135,34,3
"09",2022,3,2,3289,4204,4439,1383,1313,1315,1479,1660,2057,2113,1840,1809,1603,1318,1280,1050,758,682,324,110,15
"09",2022,4,1,3465,4449,4626,1398,1279,1305,1448,1569,2086,2250,1960,1768,1533,1223,1005,820,521,375,134,34,3
"09",2022,4,2,3292,4192,4410,1390,1312,1321,1474,1667,2062,2115,1840,1812,1603,1320,1280,1054,756,676,325,112,15
"09",2022,5,1,3459,4452,4637,1379,1277,1300,1436,1558,2085,2239,1955,1767,1531,1216,1006,821,524,376,134,34,3
"09",2022,5,2,3297,4195,4420,1365,1292,1313,1457,1656,2049,2109,1845,1802,1597,1320,1278,1051,750,675,327,112,15
"09",2022,6,1,3450,4451,4634,1380,1276,1302,1439,1563,2085,2232,1955,1778,1527,1216,1010,825,524,375,134,34,3
"09",2022,6,2,3296,4194,4432,1363,1290,1318,1457,1656,2040,2112,1845,1802,1602,1324,1271,1059,750,673,330,113,15
"09",2022,7,1,3459,4446,4647,1370,1285,1302,1425,1561,2067,2237,1959,1775,1526,1215,1015,822,525,375,136,34,3
"09",2022,7,2,3299,4187,4429,1361,1292,1315,1446,1655,2035,2115,1847,1802,1599,1328,1273,1064,750,676,328,115,15
"09",2022,8,1,3437,4426,4627,1374,1275,1306,1423,1566,2057,2240,1967,1775,1532,1209,1020,818,527,371,137,34,3
"09",2022,8,2,3290,4168,4421,1366,1295,1318,1445,1648,2035,2116,1849,1802,1600,1329,1271,1068,749,672,327,115,15
"09",2022,9,1,3440,4426,4638,1363,1284,1306,1426,1565,2059,2244,1969,1773,1533,1208,1027,816,527,371,138,33,3
"09",2022,9,2,3297,4168,4431,1365,1292,1315,1448,1652,2038,2122,1849,1796,1603,1327,1275,1070,745,671,328,115,15
"09",2022,10,1,3469,4476,4757,1371,1287,1306,1434,1565,2057,2247,1974,1772,1528,1211,1030,814,525,373,137,33,3
"09",2022,10,2,3318,4232,4524,1371,1291,1313,1462,1648,2043,2126,1850,1800,1607,1329,1275,1071,749,668,331,112,15
"09",2022,11,1,3479,4472,4752,1365,1290,1304,1437,1574,2050,2253,1983,1774,1524,1211,1033,816,525,372,136,34,4
"09",2022,11,2,3310,4223,4521,1380,1294,1319,1465,1645,2045,2127,1855,1801,1611,1326,1284,1070,749,665,332,111,15
"09",2022,12,1,3464,4484,4757,1368,1291,1299,1440,1578,2042,2262,1984,1768,1529,1214,1035,814,524,372,137,34,4
"09",2022,12,2,3312,4227,4525,1392,1294,1328,1478,1649,2044,2132,1851,1800,1612,1327,1287,1072,750,660,334,111,15
"09",2022,13,1,3459,4489,4761,1372,1296,1299,1443,1583,2042,2262,1986,1774,1525,1220,1040,816,520,368,137,35,3
"09",2022,13,2,3315,4234,4537,1403,1291,1332,1479,1653,2034,2143,1849,1802,1620,1328,1288,1078,745,659,335,112,15
